Title,Company,Location,Board,Search Term,Commute,URL,Posted
"Software Development Engineer in Test","AccessPay (AU)3.6","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/software-development-engineer-in-test-accesspay-au-JV_KO0,37_KE38,50.htm?jl=1010155342860","19d"
"Junior Software Tester - Automation","Onebright","Hybrid work in York YO26 4GN","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 18min ❌ | 🚌 ~3h 13min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRqcrfLZGo4L5IMbTKhx1PbMIfANz_8K_kUL6p9xXv_K9szgzX7cHO5rLVGBYeYPRU6TwYUYL9gvGDiVPntXFdbXJbOPX8j8YpCSnh3BNczvKmAqyLytSUaym9ns-71STpY4TEwfBbTcQRWubbd04889R0E97dLCzdovBbJ1ermodOXwGn3P7XBEIny1PmJCJJ3j-X_huH3wajeAIPLQgdB6QDAHpQHlGG-5FzXG_RssxM1rNngbYRzLmWZ8gNXMdx3jSBrpZyDuSGOX7DA0_MGuQ8mNrTyA1w3AAvm8qdz-8MUX1kMQNi_Z2pN71nK0MoakVfrKdz7FZr7d7CPkEH6lHhOwl2keQOILOx9li6yKz1eRg11rrwLJsxbtffZsogWi0sbno1xMep8rsHiIWvak5fMZlPye_f0IaN5Ioz2GBdWj019oV0rz9XabFEPBwyWr3MZmFZzw3Xvqv8d42gpnomxS9Vxn7YBMh_WkygDnUI-TCEzuwIekUcajs0-V9tpcW6OcObMn2U0q5QxMuzh6CleInK9o28ZkkbzsTb2wnzaQb9VBFFRPJ46gnDjqBOur67hMYZ-mcIrNRXpJhpCg_eJq3a8qnsnnZ3-6g0wk82hqvaEq1xse3NnTwQ91DZKCAaxe6s340uaFdx2yvGlWA3VK-Hco7LIERFXxcqCnz3Iuxsfm7NX2gKQuSzd1hU4aRdZk7rf22TEkwJTINJj8ghmKQ5lxU=&xkcb=SoC06_M3i3WWpbRUpJ0JbzkdCdPP&p=2&camk=nUmJqO2E8rgTDEDFhTpIlQ==&vjs=3",""
"Senior Software Development Engineer in Test","Driver and Vehicle Standards Agency","Hybrid work in Birmingham","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 1h 59min | 🚌 ~2h 47min","https://uk.indeed.com/rc/clk?jk=fb1ef4f5d4228f4a&bb=pnBePKEybT1VdEHGc_H46PeI80UMZD2U3i54rNqOW1DtZl6ZAMPJNIKlbncT5cm1b8HFiQ5tCvFbgfgPsT8DfmTGBKmyMrfvyw0kMOEWNOftzk5TJBV06xmYIVQLFdws&xkcb=SoB667M3i3WWpbRUpJ0PbzkdCdPP&fccid=4fa1746a279c8218&vjs=3",""
"Senior QA Tester","Havas Group","Manchester","Indeed","Software QA Automation Engineer","🏢 Office | 🚗 1h 26min | 🚌 ~2h 35min","https://uk.indeed.com/rc/clk?jk=eabf4797adad5e1f&bb=EQ2SjwOwoKroyNGlmfblLJhXeTFj_xR45zwsP9Fo4S7NcGR4PcXaBmy1MyFvUJbQGpCx-c75uJYkHrWCUZ_0P5I8zjXeVp_VRiuDhxXMfJBSfX81vpbfrX0Mrj17Sx2X&xkcb=SoCA67M3i3WTRzwkix0DbzkdCdPP&fccid=3d7752bc0721fcaa&vjs=3",""
"Automation Tester","Inspired Thinking Group (ITG)","Hybrid work in Birmingham","Indeed","Software QA Automation Engineer","🔀 Hybrid | 🚗 1h 59min | 🚌 ~2h 47min","https://uk.indeed.com/rc/clk?jk=0673736f3e075ebd&bb=EQ2SjwOwoKroyNGlmfblLFfYDbKt0ZpL8HrG6fkS7G1VpS24KWig0YVK2SfawmBeKgphMpYiZYohXXcpkivppb6lfgqhq4GVCSvEDO9vxoMCWvtYzzJGPm5CqKyEjllP&xkcb=SoCp67M3i3WTRzwkix0BbzkdCdPP&fccid=33cd831989dcb314&vjs=3",""
"QA Engineer","Moorepay","Manchester, Lancashire","Reed","Software QA Engineer","🏢 Office | 🚗 1h 3min | 🚌 ~1h 54min","https://www.reed.co.uk/jobs/qa-engineer/57026093?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom","5 days ago"
"QA Automation Engineer","Howdens Joinery","Northampton, Northamptonshire","Reed","Software QA Engineer","🏢 Office | 🚗 2h 24min ❌ | 🚌 ~3h 22min","https://www.reed.co.uk/jobs/qa-automation-engineer/57038098?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom","2 days ago"
"Test Analyst - Hybrid - Warwick - UK","Noir","Warwickshire","Reed","Software QA Engineer","🔀 Hybrid | 🚗 2h 8min ❌ | 🚌 ~3h","https://www.reed.co.uk/jobs/test-analyst-hybrid-warwick-uk/57041077?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D2","10 hrs ago"
"Software Engineer In Test (SDET)","The Portfolio Group","Manchester, Lancashire","Reed","Software QA Engineer","🏢 Office | 🚗 1h 1min | 🚌 ~1h 49min 💾","https://www.reed.co.uk/jobs/software-engineer-in-test-sdet/56964010?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D3","1 June"
"Software Tester","Oscar Technology","Warrington, Cheshire","Reed","Software QA Automation Engineer","🏢 Office | 🚗 56min | 🚌 ~1h 41min","https://www.reed.co.uk/jobs/software-tester/57008217?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-automation-engineer-jobs-in-united-kingdom","11 June"
"Contract Front-End Software Tester (JavaScript|Java|Playwright|TypeScript)","Opus Recruitment Solutions Ltd","New Works, Shropshire","Reed","Software Engineer in Test","🏢 Office | 🚗 1h 8min | 🚌 ~2h 2min","https://www.reed.co.uk/jobs/contract-front-end-software-tester-javascriptjavaplaywrighttypescript/56989560?source=searchResults&filter=%2Fjobs%2Fsoftware-engineer-in-test-jobs-in-united-kingdom%3Fpageno%3D10","5 June"
