Title,Company,Location,Board,Search Term,Commute,URL,Posted
"QA Engineer","Dodimead Technologies","Remote","Indeed","Software QA Engineer","🌐 Remote","https://uk.indeed.com/rc/clk?jk=8c2ad1e46c4f7de7&bb=iQEgi9axyDQS2UNeJa8wKfX4C110GebvS8QSb-Gn3kgcN4JYJX9R5C367I0xa2doBGbnRC7qMfhbiDCCxMoW4W5jdXS9_6bUIaI9Yvcd-cG2nZLXy2t5YLWLqQk9gWG6t4JiCsHdFiw%3D&xkcb=SoDX67M3i58y8iyKb50DbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Dodimead-Technologies&ti=Quality+Assurance+Engineer&vjs=3",""
"QA Engineer (Remote)","Remotestar3.7","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/qa-engineer-remote-remotestar-JV_KO0,18_KE19,29.htm?jl=1009426005158","30d+"
"Software Development Engineer in Test","AccessPay (AU)3.6","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/software-development-engineer-in-test-accesspay-au-JV_KO0,37_KE38,50.htm?jl=1010155342860","20d"
"Junior Software Tester - Automation","Onebright","Hybrid work in York YO26 4GN","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 14min ❌ | 🚌 ~3h 8min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRqcrfLZGo4L5IMbTKhx1PbMIfANz_8K_kUL6p9xXv_K9szgzX7cHO5rLVGBYeYPRU6TwYUYL9gvGDiVPntXFdbXJbOPX8j8YpCSnh3BNczvKmAqyLytSUaym9ns-71STpY4TEwfBbTcQRWubbd04889R0E97dLCzdovBbJ1ermodOXwGn3P7XEeH8Z6PXtls_zMtyLxPaY9MhbzGGzcbU2J8-SNIFc7aD0fjXtN0SaL4U5iWm9ILiES4LtHxUtMYLVfQU9Ie-tl0_kQhIMh0HEBYnL32uv-BAjfr8KRosdQYmg2aOHam7fRsTUI7NxZWATOnVUeYO5ulF-baOQzQ9BlK1I21q_3kTElU_oJgM4fLGKWiMayCJtIkryl4LtsV4U3WO1PmM3jFvas8eYEtoZyREQyVmWBDn5QcxoxRd-TxRKBAEoGD0jFNuQS-xjYyxHAvQeTTcBUgUsbAbDVz7APl8BYaEdvXcvMwUpQuakp6FM37cSKIDOYQpCNEdrSiTwSq--bJysfSyB0bCAkDMXJNV3DhPGIvJuMcFzx3cfUoS00WlQGD2oT7eTmgEhYVRTk0rlR5XQPEMyozp62IstbYMyIZQVWTY8zR8e21sGzQ_ObIBsZKbTcciAYFXt5KSlwwr6_zBh5WTc90kLWvm5gs-0_QG83mdomkZ1YzvTf9e2aWM1j5BNrfKcG7UucHid1iqbq5b6oD1FsigKSWLU_BTa32uuKI=&xkcb=SoCK6_M3i582BiQkix0JbzkdCdPP&p=2&camk=nUmJqO2E8rgTDEDFhTpIlQ==&vjs=3",""
"Senior Software Development Engineer in Test","Driver and Vehicle Standards Agency","Hybrid work in Birmingham","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 1h 58min | 🚌 ~2h 45min","https://uk.indeed.com/rc/clk?jk=fb1ef4f5d4228f4a&bb=pUYBBYBAOWCWguZ5dzWF9nKP3unlDDgGdBkxE1hsISOzyvWxa30fp-PTG4YCJxDSb55eqmQLVAFdFkb8gcLyfl21Yil35YYGtldWSfVkzv7rvCPTNM6qSxD81K4uyIrT&xkcb=SoDK67M3i582BiQkix0IbzkdCdPP&fccid=4fa1746a279c8218&vjs=3",""
"Senior QA Tester","Havas Group","Manchester","Indeed","Software QA Engineer","🏢 Office | 🚗 1h 23min | 🚌 ~2h 30min","https://uk.indeed.com/rc/clk?jk=eabf4797adad5e1f&bb=pUYBBYBAOWCWguZ5dzWF9scxVNBrWq9-x8j87imCaVJWMHOeW1BjNCRZKnGovVQOjXgLQzPWM0WrlDbntUjJXpbHwY01p1HMva8Ts1s2uQC-0KWKKJx3z32OnwCax7k8&xkcb=SoAj67M3i582BiQkix0HbzkdCdPP&fccid=3d7752bc0721fcaa&vjs=3",""
"Automation Tester","Inspired Thinking Group (ITG)","Hybrid work in Birmingham","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 1h 58min | 🚌 ~2h 45min","https://uk.indeed.com/rc/clk?jk=0673736f3e075ebd&bb=fmb2Vh-hfpL4YBvXxu9wqvtBJ2g-LcjDkbbmNGC57QtNKOZbiZYr33zh3ydcHWPEzpWZRjzUdZHLg-VYmBata8Uszn8DrhDwQt6CIScv_N8bcdcaKesIC3EwKfqxOVx9&xkcb=SoDs67M3i581HC2ODJ0JbzkdCdPP&fccid=33cd831989dcb314&vjs=3",""
"Principal Automation Test Specialist","National Wealth Fund","Hybrid work in Whitehall","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 14min ❌ | 🚌 ~3h 8min","https://uk.indeed.com/rc/clk?jk=832f12bb6c63201b&bb=fmb2Vh-hfpL4YBvXxu9wqpsWbW9lDrYxIGBBRMwy2jjJdwNCl6Fr1iqp_xXRz_NNuHlR7alVWE2X6u8D1dbMk97DduwOB9VoVOe5VRINgS8LgbdkUWLLWcgHo2xoB6U1&xkcb=SoAF67M3i581HC2ODJ0GbzkdCdPP&fccid=72de5656e9719436&vjs=3",""
"QA Automation Engineer","Howdens Joinery Co.","Northampton","Indeed","Software QA Engineer","🏢 Office | 🚗 2h 28min ❌ | 🚌 ~3h 27min","https://uk.indeed.com/rc/clk?jk=4a43a51d132d7721&bb=v8c1ySBHeasKsh_Uxd7z8Hliu57Z7iAZWmCPrV8sD04hseKz1QwqQXTFdqRvhKA9vxvk9uCWcz7xm2gAytynsRbAme3H3SP6zu3jJvr4VCLmMsbeAUjNhoS3IvKF38x3a1DPxLOFS8S8kVO_PyEHcUDK344vAuPQ&xkcb=SoD467M3i580fDWOCp0KbzkdCdPP&fccid=bc33d26dbc157e5b&vjs=3",""
"QA Test Analyst","interactive investor","Hybrid work in Manchester","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 1h 18min | 🚌 ~2h 21min","https://uk.indeed.com/rc/clk?jk=5b7486e3ee4e4621&bb=v8c1ySBHeasKsh_Uxd7z8DVqrBZMzU0aszDtybfEsDtvTVL74fK4gRC9F5dh7M0mxknZmoVLpFCghDpYAGjVhjjlUWRxQgRctW_QaNKIYqYPxJQP9TBduoRFOp6BEkySSKFwObzxr_6Heec4WIwudflxTGMSX3WB&xkcb=SoB267M3i580fDWOCp0NbzkdCdPP&fccid=e51d8e1263ffc556&vjs=3",""
