Title,Company,Location,Board,Search Term,Commute,URL,Posted
"Junior Software Tester - Automation","Onebright","Hybrid work in York YO26 4GN","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 13min ❌ | 🚌 ~3h 6min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRqcrfLZGo4L5IMbTKhx1PbMIfANz_8K_kUL6p9xXv_K9szgzX7cHO5rLVGBYeYPRU6TwYUYL9gvGDiVPntXFdbXJbOPX8j8YpCSnh3BNczvKmAqyLytSUaym9ns-71STpY4TEwfBbTcQRWubbd04889R0E97dLCzdovBbJ1ermodOXwGn3P7XPnu5QPiFVHs82Oo8xfvRIOZAlFog-i56u6VcoMOBtSxDHn-9J5nBGhdbH8ptqPNCsZ4YkoygJmL5Bq_QldS3N6EMcgOKmPlIYaz9Vgdpo889m6qEkEbZd9ukfsHg1WRMZq0mAolcEuJLzbbbRlXexn8QZ6H6JNANUH-DDRLru9AM7gaiPwUvafepcut26CGZ481ImX--hHVXwYWPfAVOmgTOL6SqAK7yYZKf0CNPW6irxNZhGrMLw2RfjHnlP6y9dVWoXCITjraZKIJkmyKz0r0M3EoVj6hj0ogMkqWyHt6P2MyOQirDzDnv590-fX5AIWM_dkUjw9B40TAtfMvEzLkAUHD0toreOJccqbnqRFCieT-LJQXp3QfCR9gNo0X8KqXvVz3nBk_UDudpQbN-mIEIu217NuVpb1FQ6iUP-i1rLvgghWHB0CiECZGM2S75OSg3oZoNz0-jmRVu2pUfqGX9M4BWQ9lNJoWwXcR8wK49R1lEZTzLuUs0mTbafLXSGAWfXU7eWlz6b9LXvVv4rvr7Nu_GB_FJc2gGz1B03bo=&xkcb=SoCI6_M3i19LAaRq0R0JbzkdCdPP&p=2&camk=nUmJqO2E8rgTDEDFhTpIlQ==&vjs=3",""
"Senior Software Development Engineer in Test","Driver and Vehicle Standards Agency","Hybrid work in Birmingham","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h | 🚌 ~2h 48min","https://uk.indeed.com/rc/clk?jk=fb1ef4f5d4228f4a&bb=Jngm6Cr9yi2ShaS7aVuklwQAx552VE1XeG1TlKKcAnGMAgHPQvLzD8AJQm5L7oO_iPOeECgVYw7r-wUCVhFqCfbONmPporjggoHVHe7fGK71nGSYnkAeD9VbkCoZ1q1H&xkcb=SoDI67M3i19LAaRq0R0IbzkdCdPP&fccid=4fa1746a279c8218&vjs=3",""
"Automation Tester","Inspired Thinking Group (ITG)","Hybrid work in Birmingham","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h | 🚌 ~2h 48min","https://uk.indeed.com/rc/clk?jk=0673736f3e075ebd&bb=Jngm6Cr9yi2ShaS7aVukl0M5jjdpqLqCTrrR13A_BCoG2xhXmz9nOBSvZrehKzx04a4UStZHjw-vefTR8y2b-EUyT0IOOXPvGP9UHoJjQ-StgpSlhp7JNSrYJNRtrxtl&xkcb=SoCV67M3i19LAaRq0R0GbzkdCdPP&fccid=33cd831989dcb314&vjs=3",""
"Software Engineer In Test (SDET)","The Portfolio Group","Manchester, Lancashire","Reed","Software QA Engineer","🏢 Office | 🚗 1h 1min | 🚌 ~1h 49min","https://www.reed.co.uk/jobs/software-engineer-in-test-sdet/56964010?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D3","1 June"
"Junior Software Tester - Automation","One Bright","York, North Yorkshire","Adzuna (TotalJobs+)","Testing Lead","🏢 Office | 🚗 2h 19min ❌ | 🚌 ~3h 15min 💾","https://www.adzuna.co.uk/jobs/details/5768677527?utm_medium=api&utm_source=fec81443","2026-06-18"
"Quality Assurance Engineer","Orta Staffing","Salford, North West England, England","Glassdoor","Software QA Engineer","🏢 Office | 🚗 1h 57min | 🚌 ~2h 44min 💾","https://www.glassdoor.co.uk/job-listing/quality-assurance-engineer-orta-staffing-JV_IC3528162_KO0,26_KE27,40.htm?jl=1010159071866","16d"
