Title,Company,Location,Board,Search Term,Commute,URL,Posted
"SDET Quality Assurance Engineer .Net SDLC, integration testing, performance testing","Adaro Optics Ltd","Hybrid work in Marden","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h | ðŸšŒ ~2h 48min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDRfu2abO4f3VPtCOt8PRaQ4rhAQsSZBHZ1p6NioCB46dbLZuB7echwT-xM_0N03ywVgo0UzALYmpYEadsIKnPmk00B3C5qcNXfC_Aly9rWCCo5GP-oyPb4craPBxjV-NdZ_05mjBD0-sed6h2DG4VkoSc3ydTULOTVOqvu5nMsk9onRmrS3LkvUN52sL6_cXSApejDdeACdqEsUwTBxR7NXyG17U7CA4HQ-z69L23Hbryu5nZbSguOT3ziIMAcO3xyCwEgSV8IPT4LJlv87yFZdA1evcSrgpdTTNNao4TMBWI5t7O3-1BEVdyGI4QR1DB22s3SNt8_7Q6f_l2t5Esrs1XJQnhanTzS7i1tIaKljQv2zIyv6S6ekV8WmVsFWpM351_FsfU0opA9rvmj2YUpxeGSZMK5K58LLnyWp-_3BF14a_f7cij7or-Du8oSZc_7fkVPCkti2sed757gBVXiJXTlKzLM8L6eQcb5lKsl43eorkQif-ZXbbCwCvb0o4v3ogywmIsGzwqqpMiSXeP4x0A3pqCzn6TJDiFBDekh-AU8xhdhl1NqRYWyDLzA4g_Ge2WgAUYi5o5hzgQlc1qdczjKKSd9U2Ja8FlIkyno3rvtzmogro7hmTfVUQdsP_xbXjJAakW1eOG7e5ns74fqz3xBgz5xTZVlhVIPQZcY_se3zvMgXTPpEBsPCCmC5rP94CcEXFrBrnvCy9402AS51pHpwswvuQKV--adlaSbyU7_4pZzSknXmA2MLTo75LlW6LMRTJdPdyGAE5pJlNxAjnAkcZnczI=&xkcb=SoAC6_M3hUXMavwNiZ0KbzkdCdPP&p=1&camk=C3EPSzFlQw8B0UCxzuQaOA==&vjs=3",""
"Quality Assurance Analyst","SOUTHERN COMMUNICATIONS LIMITED","Hybrid work in Woodbridge","Indeed","Test Lead","ðŸ”€ Hybrid | ðŸš— 2h 13min âŒ | ðŸšŒ ~3h 6min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlXhGvmphng2iHlheON7tFK0t2KMQv22SWXF7mqK7XFIQkdPiSGc-pwms-mQARMaCoZ8hZ1-613c6qGQRAuGNP7nnUIL2AdqVg_L3GBWbJuJAOvrEuyUDHkp4ns6Mq16zE1QmKOPfzTpb1S-JajtGFXotoqE2fGpxP25t6raHS1EEx4XUq7Y26TjZz1u7e2CNL-oDwZO19bNs_q6wnTv8CH-w4SzGBihF0HNUem7OD7_FNMcxhlzEVDiOzMcmumBvmbitd_HcDWKuAGQXhRCCkHhnNeDNgw0z7VJDNUW5MIC7c4bOJ5WlPTfNw03emFwSnal__pPlCGSX0-ahbDJI4CRFSLyc1d3LyP48OXej8HgDGltWQ43xa7lJREQgIvtNQA4n1i5yKUMkU1Izr2LfwGPTVtUIN0oRUcQ9zQMTzBXkQIk6KA-Bgi-9ioWAHMwaMP2k_3HCryOFG1zPjSq5K7tM6gVTOgjU0XSsVCE2mIDxZBU1pJXZhvhqQVIP8QAV7HaI3BAHzn-1rAFGt_m0w7vBnoo0ipjN_TwNtofKNHP5m_z4MaNkJDy-HB6DbYyihJlsDVl0PBQXlA9aSg50fmj-feXXlYKRJr0HRWWk4SrnRxake-73S9-O0KdXcftgjsPpJZmisEbRyqeJfmzbdwMkFw6AFJZaIizk5HrG1Fqz_eevmP0w24TefgURm_gJ2AOX_PciZ8g==&xkcb=SoAU6_M3hUXSXoxCEp0MbzkdCdPP&p=6&camk=ethIe0s0hedAYNH6leH9lA==&vjs=3",""
"QA Lead","Rebel Recruitment Limited","Manchester, Greater Manchester","Adzuna (TotalJobs+)","QA Lead","ðŸ¢ Office | ðŸš— 1h 21min | ðŸšŒ ~2h 26min","https://www.adzuna.co.uk/jobs/details/5785246925?utm_medium=api&utm_source=fec81443","2026-07-02"
"SDET 2","Everlinked Ltd (Integration)","United States","CV-Library","Software QA Automation Engineer","ðŸ¢ Office | ðŸš— 1h 38min | ðŸšŒ ~2h 57min","https://www.cv-library.co.uk/job/225324575/sdet-2","2026-07-02"
