Title,Company,Location,Board,Search Term,Commute,URL,Posted
"Systems Integration Engineer | E-commerce | Shopify | Fully Remote | £280 Outside IR35","VirtueTech Recruitment Group","Leigh, Greater Manchester","Adzuna (TotalJobs+)","QA Engineer","🌐 Remote","https://www.adzuna.co.uk/jobs/land/ad/5717831487?se=Jv641VdI8RG-rcJmfw1P3Q&utm_medium=api&utm_source=fec81443&v=E6F0B80AA06F7BFA02A0A0EE30F4A3AA87E2BB59","2026-05-03"
"Systems Integration Engineer | E-commerce | Shopify | Fully Remote | £280 Outside IR35","VirtueTech Recruitment Group","Bolton, Greater Manchester","Adzuna (TotalJobs+)","QA Engineer","🌐 Remote","https://www.adzuna.co.uk/jobs/land/ad/5717831483?se=Jv641VdI8RG-rcJmfw1P3Q&utm_medium=api&utm_source=fec81443&v=01CDE4D42CC316E980A58537CDAA265AE05D0F77","2026-05-03"
"Systems Integration Engineer | E-commerce | Shopify | Fully Remote | £280 Outside IR35","VirtueTech Recruitment Group","Altrincham, Greater Manchester","Adzuna (TotalJobs+)","QA Engineer","🌐 Remote","https://www.adzuna.co.uk/jobs/land/ad/5717831110?se=Jv641VdI8RG-rcJmfw1P3Q&utm_medium=api&utm_source=fec81443&v=26705012FD4BD5DC12B18ED45D3E6235DC02EF6F","2026-05-03"
"Systems Integration Engineer | E-commerce | Shopify | Fully Remote | £280 Outside IR35","VirtueTech Recruitment Group","Ashton-Under-Lyne, Greater Manchester","Adzuna (TotalJobs+)","QA Engineer","🌐 Remote","https://www.adzuna.co.uk/jobs/land/ad/5717831112?se=Jv641VdI8RG-rcJmfw1P3Q&utm_medium=api&utm_source=fec81443&v=68CEE1C9E2EED348502EEF83B86B8C4627410152","2026-05-03"
"Systems Integration Engineer | E-commerce | Shopify | Fully Remote | £280 Outside IR35","VirtueTech Recruitment Group","Leeds, West Yorkshire","Adzuna (TotalJobs+)","QA Engineer","🌐 Remote","https://www.adzuna.co.uk/jobs/land/ad/5717830191?se=Jv641VdI8RG-rcJmfw1P3Q&utm_medium=api&utm_source=fec81443&v=E5D03988AA5925AEBE802C52A4600B9CC4989217","2026-05-03"
"Systems Integration Engineer | E-commerce | Shopify | Fully Remote | £280 Outside IR35","VirtueTech Recruitment Group","UK","Adzuna (TotalJobs+)","QA Engineer","🌐 Remote","https://www.adzuna.co.uk/jobs/land/ad/5717830064?se=Jv641VdI8RG-rcJmfw1P3Q&utm_medium=api&utm_source=fec81443&v=6B468BDF8C8F206A04F34595FB4260634C183864","2026-05-03"
"Junior+/Middle QA Engineer","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/junior-middle-qa-engineer-gamingtec-JV_KO0,25_KE26,35.htm?jl=1010115114470",""
"QA Engineer (Remote)","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/qa-engineer-remote-remotestar-JV_KO0,18_KE19,29.htm?jl=1009426005158",""
"QA Engineer - Core Database (remote)","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/qa-engineer-core-database-remote-clickhouse-JV_KO0,32_KE33,43.htm?jl=1009950493128",""
"Software Test Engineer QA","","Remote","Glassdoor","Software QA Engineer","🌐 Remote","https://www.glassdoor.co.uk/job-listing/software-test-engineer-qa-yo-it-consulting-JV_KO0,25_KE26,42.htm?jl=1010050986057",""
