Title,Company,Location,Board,Search Term,Commute,URL,Posted
"Junior Software Tester - Automation","Onebright","Hybrid work in York YO26 4GN","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h 12min âŒ | ðŸšŒ ~3h 5min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRqcrfLZGo4L5IMbTKhx1PbMIfANz_8K_kUL6p9xXv_K9szgzX7cHO5rLVGBYeYPRU6TwYUYL9gvGDiVPntXFdbXJbOPX8j8YpCSnh3BNczvKmAqyLytSUaym9ns-71STpY4TEwfBbTcQRWubbd04889R0E97dLCzdovBbJ1ermodOXwGn3P7XdKowk83Q1oz9WEbTRV0_aKPcP98VO0WpZkDg_-U0nmE_PE6_3ibHNhY4EhLcLivqjg9P8ATXS5wqMsbgxtn3cu71nCOwN99GkkuKC_g19KnpicaWwH-0DeIppCxQi36gVZAYebSqyyV5DpQekJ7S4DtO1Aj0D4QYgoVGpVkak_P8vZt88OdOABg4Mn9eyQy1-ajU8Rb4M_vS7mVujMm-ajACGzAiNLhNmkHxaBGB1BcHiHVdG4jknTpTIBBufcqMIx0g9fGOpl9bY7hKrlP8FF5QFfsveVrx27_ORyIE8oURKyxZlmyJiBSN_C-GZOSpX3Y7B3YdOM7BywuPrDHaWlF5nkf3cAtpzR5RRxtEj2NUAxo9COBqOU6viY8pQW4gWB-yKGhK7qIOOOxuWshwWQTqePDTb5htJSzUkqmrdFPcI1qUFACous1QHtbPibTEG-zgrSAcofqpp1WdtBAt_vPGMFSey8F8Y6aiDm-BTiDurhiS2OMDOx-Z6tWnkUsfMyD-5I90MdnuP6aOWRPGki5XZD8rBSZlE5Rx2u7SW-I=&xkcb=SoDT6_M3i8yNgQgMAj0KbzkdCdPP&p=1&camk=nUmJqO2E8rgTDEDFhTpIlQ==&vjs=3",""
"QA Automation Engineer","Softcat","Hybrid work in Manchester M3","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h 31min âŒ | ðŸšŒ ~3h 31min","https://uk.indeed.com/rc/clk?jk=7dab389752ed5c1b&bb=BVGjy653o8rla_DEGbvIKeCFc9ODdgp6CIZdWal4OWwkwkoIJgUCwshVsC2ByhUYlHzLDcaSBgIW7ePqD0pypjJ38LpYwjiy5IeGZpzxwzQoLW75a1Ohh_LrMTBqS-4BnrJ3GvWhX1ww7KqHAqbWdjs0Kpe6i3_G&xkcb=SoDo67M3i8yL72wAsJ0PbzkdCdPP&fccid=42dc284f9b0b0bf3&vjs=3",""
"QA Engineer with Chinese Speaking","Team Creation","Hybrid work in Hammersmith W6 9DL","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h 12min âŒ | ðŸšŒ ~3h 5min","https://uk.indeed.com/rc/clk?jk=29ada2ea22e9f4f2&bb=BVGjy653o8rla_DEGbvIKTYDrCzJLLS5OswLNaGtyAkacOw2qMbEmXdaSSEqFqDm1xgKZmoSomOa2zjUfeXdnM1DVifsLfMecYrb1hBVRmiifUoxr7jyOQPgMrxV75A5uLwvOQ5_g7ov8Az0esAyN0ZMIXvY27S_&xkcb=SoDB67M3i8yL72wAsJ0NbzkdCdPP&fccid=adeb99412c9355cc&cmp=Team-Creation-Limited&ti=Quality+Assurance+Engineer&vjs=3",""
"QA Tester (Automation-Focused)","The Portfolio Group","Manchester, Lancashire","Reed","Software QA Automation Engineer","ðŸ¢ Office | ðŸš— 59min | ðŸšŒ ~1h 46min","https://www.reed.co.uk/jobs/qa-tester-automation-focused/57047685?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-automation-engineer-jobs-in-united-kingdom%3Fpageno%3D2","Yesterday"
