Title,Company,Location,Board,Search Term,Commute,URL,Posted
"Junior Software Tester - Automation","Onebright","Hybrid work in York YO26 4GN","Indeed","Software QA Engineer","🔀 Hybrid | 🚗 2h 12min ❌ | 🚌 ~3h 5min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CRqcrfLZGo4L5IMbTKhx1PbMIfANz_8K_kUL6p9xXv_K9szgzX7cHO5rLVGBYeYPRU6TwYUYL9gvGDiVPntXFdbXJbOPX8j8YpCSnh3BNczvKmAqyLytSUaym9ns-71STpY4TEwfBbTcQRWubbd04889R0E97dLCzdovBbJ1ermodOXwGn3P7Xg-UkSDHafeNViY3n7MB9eWHzFDktPcwXWFPcHihrz7tMaW8eddPD4cU5hJyg6bgpFtDEp1UdylihzwxkDjwYT-xrUpT49zRNdKqKaRd4xP_7esNiPkwa_uFz5Em9AUd2JXJ30HqPS9yBvYZGrKp-DQBvCkqBGaOwxrH9hP2vvuQQLwGuKsZaVrOQl5qofMpSD6V1QPmr0c7sYIqycn1BRH9JCm1sK6wSIzcL3aHzYv13qoI6SsobgB7TzVND_8Qn5889OrQ8U3CPN3qQH4neIo3QHCjJWXK-BHFfVHdjJfI2CT2bryk1DMuJUqqwrwqRcHWD9pzeCq9TNYskM3VOEEtRBQeo0zDq5nq1XuGM9Zn6hKgqDu4WdMU3KKi_7yXvd4REKHB9YH4lmcEcS7eCeYK6TVfdnp3vDPrv-Wl6H7H0eJVv6dQiR5WAKTTOokDRTJHUPxRWKUwXsvtgK0vvBxD0JQBFuq5lIcTFVHX_ON5WLRziK-2urv4eUaUomv8N8MbuM9jLs7kp27NeHTLtJ6PXMppqT2cPiSofFAxpfe0=&xkcb=SoAN6_M3izqd6-xUix0PbzkdCdPP&p=4&camk=nUmJqO2E8rgTDEDFhTpIlQ==&vjs=3",""
"Software QA Engineer","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/software-qa-engineer/57008844?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom",""
"Lead QA Engineer","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/lead-qa-engineer/56967072?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom",""
"QA Lead Analyst","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/qa-lead-analyst/57026182?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D2",""
"QA Analyst","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/qa-analyst/56941258?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D2",""
"QA Test Analyst","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/qa-test-analyst/57026129?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D2",""
"Software Engineer In Test (SDET)","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/software-engineer-in-test-sdet/56964010?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D3",""
"Software Engineer in Test","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/software-engineer-in-test/57036670?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D3",""
"AI (QA) Automation Engineer","","","Reed","Software QA Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/ai-qa-automation-engineer/56888873?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-engineer-jobs-in-united-kingdom%3Fpageno%3D3",""
"Automation Test Engineer","","","Reed","Software QA Automation Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/automation-test-engineer/56974255?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-automation-engineer-jobs-in-united-kingdom%3Fpageno%3D2",""
"Test Automation Engineer","","","Reed","Software QA Automation Engineer","🏢 Office | 📍 Brak lokalizacji","https://www.reed.co.uk/jobs/test-automation-engineer/57033162?source=searchResults&filter=%2Fjobs%2Fsoftware-qa-automation-engineer-jobs-in-united-kingdom%3Fpageno%3D2",""
"Junior Software Tester - Automation","One Bright","York, North Yorkshire","Adzuna (TotalJobs+)","Testing Lead","🏢 Office | 🚗 2h 19min ❌ | 🚌 ~3h 15min 💾","https://www.adzuna.co.uk/jobs/details/5768677527?utm_medium=api&utm_source=fec81443","2026-06-18"
"Quality Assurance Engineer","Orta Staffing","Salford, North West England, England","Glassdoor","Software QA Engineer","🏢 Office | 🚗 1h 57min ❌ | 🚌 ~2h 44min","https://www.glassdoor.co.uk/job-listing/quality-assurance-engineer-orta-staffing-JV_IC3528162_KO0,26_KE27,40.htm?jl=1010159071866","15d"
