Title,Company,Location,Board,Search Term,Commute,URL,Posted
"QA Automation Engineer - (100% remote Worldwide - UTC+7/+9)","Bitfinex","Remote in London","Indeed","Software QA Engineer","ðŸŒ Remote","https://uk.indeed.com/rc/clk?jk=54e3a71bc4dd6856&bb=O6dU6-sG-_oM1m9BPE9zLeAORDoGXG7H4SGeDQidr8ZNnwuMXPmw-Qm4FtbnGDKe4JeEBSzjjc2fOc1Rq4uhWvU8FtqwAaB7bsKfccSLHZ40t5Xt6bM-02Y2aJoR1VIX7yvEiwjcsU5mw5gyrcpsOQ5afgzE8Yoo&xkcb=SoAi67M3hR7I8kwko50GbzkdCdPP&fccid=96c004b9f25bdd10&vjs=3",""
"QA Test Analyst","Neo Fintech Lab","Remote","Glassdoor","Software QA Engineer","ðŸŒ Remote","https://www.glassdoor.co.uk/job-listing/qa-test-analyst-neo-fintech-lab-JV_KO0,15_KE16,31.htm?jl=1010083812043","30d+"
"SDET Quality Assurance Engineer .Net SDLC, integration testing, performance testing","Adaro Optics Ltd","Hybrid work in Marden","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 1h 57min | ðŸšŒ ~2h 44min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BDRfu2abO4f3VPtCOt8PRaQ4rhAQsSZBHZ1p6NioCB46dbLZuB7echwT-xM_0N03ywVgo0UzALYmpYEadsIKnPmk00B3C5qcNXfC_Aly9rWCCo5GP-oyPb4craPBxjV-NdZ_05mjBD0-sed6h2DG4VkoSc3ydTULOTVOqvu5nMsk9onRmrS3LkvUN52sL6_cXSApejDdeACbK4XdyeOKzL-iaZsSTV9cRCg1dmM6qZkqQjqqG4rRvKFwPnwo3WQJoK9ruNySxYUluKxQ2W5SzQdHV8AySzoKGXFrSETbR76dEgn90_SYmI6hguEqzwll0MCRftcHY-OPsT8WwIJRhRMgncr2JgAqAv-4yW1hBWiPjA5zArJGEfrO0shefVmBKmcARpqavDzKYCX9lyuoOCu5T-zkibmS-_bE8iRLvwT3bTpiYd_w9B_W70dWQMAsK8GRRHjsYZW_hlu7WW4pBrd6TyA0YONuufA2DA_tOa5jttg-o4BmwNoOeRJ895H2Ri0JaDxHKoRq6gw1dGqXxRihnfOYCHwf7WzJqZ5QDfNMjrhqZE9BzJ_ess0bwFODLO6uAliRonnPvzxQcz0_fUf4R85dakWdi6a9KOOsuponlbERkrrdC0vtM1jN83gTqs93eEr7so5jyo2MHAJw4ppKsi1t4SD3N4pj9B5rZuOoyMVbznX3kJBziqJaGp-DOcXoWIpfOBx5kUbxfOJZ8GxrP_iMJP64DJ4Xvj4o1OcWipQbf72vp8C_WLyI_3RSN3hVL9lsxb-Bb9BXrk_Z0-Pn_k8wNPylk=&xkcb=SoAi6_M3hR7LUHWOCZ0MbzkdCdPP&p=7&camk=C3EPSzFlQw8B0UCxzuQaOA==&vjs=3",""
"QA LEAD","Alfred H Knight Group","Hybrid work in Liverpool L34 1PJ","Indeed","Software QA Engineer","ðŸ”€ Hybrid | ðŸš— 2h 31min âŒ | ðŸšŒ ~3h 32min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AwRIMTA5hkjiPmXPNhx2hmk6xPN7vmU-OlxGv1UrrML9Z7fCgF_HJLrUaIEgDTD3G9fi2aW6Dz-O98AszqZpbhQ6OUg95Y3x9KXcA2iDvQXRdjLO-OJjmOVP6xYFLPOIBWQ32nDf-Z6mdJs_ADYuol-eMzoB1etj7row_7Iz3bejwVw8qR1d3xRqpsH0zaBGmq_DpMyXgvHGVmo7kc69J_mv8SRitWyr24afwHqLa0r2RI88TO7shPgFs-vczyG7nOSWXFYx9kLnSChdF2w-ZB9SxPqYl4aLA2WbGaVE2gEdiBEy5D0a9NtSsYnZKqo99ui02Y3rP1_MahbcJHukGO4Tf68NaM9RSst9D8TzkU40eTorsQT5Tgkcc7jhE8DCJji6WwrOaNa97JO46pwgJvLTbB4w0Q2sGIW_cPIUGmDatij0JvjfNUklZcHTZzZp_e0nN2CkxJVXJitPxQB0wq1dhZJeGFPfqloohzv-ayOghLRaR-S3bzN3PuojbbJWKccYWumrPcakqOUWs6Nnz4-8J5xdWp9UAfonFCzQwF7eTT_tbkBArPrktIrxTnzxdB_nxPU_QtOLwvVi-OC4tUgjO8WNGZgMFwmKYUSMUNP4SZJlqB_cGPlK0y4dwguPg72aHcIGV-k4nbNsOCgBEcP92nBRAJUP09A96FThJhvrfDY8wEu_mgf41tfiyzyk17tpjipUlYUv8Z0QIyuJ-66nfnyOm0_vHWX8eiyjrYbw==&xkcb=SoDa6_M3hR7KpfS2lZ0BbzkdCdPP&p=10&camk=G42KULXkIwN3oVfmJpNu4Q==&vjs=3",""
"QA Analyst","GK Recruitment","Liverpool","Indeed","Software QA Engineer","ðŸ¢ Office | ðŸš— 49min | ðŸšŒ ~1h 28min","https://uk.indeed.com/rc/clk?jk=05334096668035dc&bb=IRyg7eimqVdpe8_cJ4IGlFf3hvv15M4cLvHrQBC8-AAT4eKZppHuSpER6f0g8a0OFyuG9M_p7FgYqegdJDiYpW9UVRqvWV4iuG89SEJcTdXpFz_n39T3mCDRMD3KBKpjWzAVsMc80Sw%3D&xkcb=SoDS67M3hR7HEbWXVJ0IbzkdCdPP&fccid=0dccb663fb6a7928&cmp=GK-Recruitment&ti=Quality+Assurance+Analyst&vjs=3",""
"Quality Assurance Analyst","SOUTHERN COMMUNICATIONS LIMITED","Hybrid work in Woodbridge","Indeed","Testing Lead","ðŸ”€ Hybrid | ðŸš— 2h 6min âŒ | ðŸšŒ ~2h 57min","https://uk.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlXhGvmphng2iHlheON7tFK0t2KMQv22SWXF7mqK7XFIQkdPiSGc-pwms-mQARMaCoZ8hZ1-613c6qGQRAuGNP7nnUIL2AdqVg_L3GBWbJuJAOvrEuyUDHkp4ns6Mq16zE1QmKOPfzTpb1S-JajtGFXotoqE2fGpxP25t6raHS1EEx4XUq7Y26TjZz1u7e2CNL-oDwZO19bKqOOEhuSdFqh0dErcGoJW9g4QzIN4eRjDYJm4TXTOqMFb6fjo3HSbe2koIWosC4X4ffvlGYQcZy52zoIV8nMBxisGG4_zKt8XZ83GDKZIAgTEjouggP_tLMugeiCX1UFcB5yaoj64Arsx6i1ZsNqfZkMJyeuJXMruCu0Hk9IvYWWI-lUbP2yj5hhmxdMR1fR-r5P_zc3Ys-POUuojSJMUtRszo02tvDB5Z2A3ak798OYnOkTp8mOpit2pHlZCXM_8Z2aDiVf5xnzaEcqNyzmuyLXvtE3gAIeoeGMz2WF6Ra8c0q8Xat0E-_m_b1kEMurwJvZN7iPwdvoZMo-oFN41mrfUX-irudtJI-18DVIgLAfZaGEKBmVk1Y5k0EpVMkbBhu57FwlgktswO32KaZ3_7KtSFA9nrSoDz01nlcNnvoOSmgkX2pZlz-yhmHCAcaJ7TPLJcbGSs5u86nr9UYv4IiT_be8wtko_V95_6hKWjEJ8_93ZB36gUYKV3FeKHrx0-AIVG979E3&xkcb=SoBQ6_M3hR7ZpjAdfj0BbzkdCdPP&p=10&camk=ethIe0s0hedAYNH6leH9lA==&vjs=3",""
"Test Analyst","Noir","UK","Adzuna (TotalJobs+)","QA Engineer","ðŸ¢ Office | ðŸ“ Brak lokalizacji","https://www.adzuna.co.uk/jobs/land/ad/5783213902?se=1PiRNjN28RGuL_Dxd_Dh0Q&utm_medium=api&utm_source=fec81443&v=9C47510CF4F7559FD2BD92EE3B2C273C84359D40","2026-07-01"
"Quality Automation Engineer","Anson Mccade","Leeds, West Yorkshire","Adzuna (TotalJobs+)","Test Automation Engineer","ðŸ¢ Office | ðŸš— 1h 50min | ðŸšŒ ~2h 35min","https://www.adzuna.co.uk/jobs/land/ad/5783857319?se=dhgAOTN28RGuL_Dxd_Dh0Q&utm_medium=api&utm_source=fec81443&v=3A84C23836B53138D00519E50CCD283C863F9B65","2026-07-01"
"Test Automation Engineer","Protec Fire & Security Group Ltd","Nelson, Lancashire","CV-Library","Test Automation Engineer","ðŸ¢ Office | ðŸš— 1h 30min | ðŸšŒ ~2h 6min","https://www.cv-library.co.uk/job/224607267/test-automation-engineer","2026-07-01"
